Geography,year_built,Median_Income,Median_rent,Estimate..Total.,No_schooling,Nursery_school,Kindergarten,X1st_grade,X2nd.grade,X3rd.grade,X4th.grade,X5th.grade,X6th.grade,X7th.grade,X8th.grade,X9th.grade,X10th.grade,X11th.grade,X12th.grade..no.diploma,Regular.high.school.diploma,GED.or.alternative.credential,Some.college..less.than.1.year,Some.college..1.or.more.years..no.degree,Associate.s.degree,Bachelor.s.degree,Master.s.degree,Professional.school.degree,Doctorate.degree
"Block Group 1, Census Tract 106.01, Champaign County, Illinois",1983,96406,1163,2087,24,0,0,0,0,0,0,0,0,0,0,0,0,6,14,299,55,171,214,165,537,429,96,77
"Block Group 1, Census Tract 11, Champaign County, Illinois",1959,71205,1191,1374,0,0,0,0,0,0,11,0,0,0,0,0,21,9,0,114,18,105,298,145,352,188,43,70
"Block Group 2, Census Tract 12.05, Champaign County, Illinois",2006,53250,1193,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,19,24,48,41,443,148,82,40
"Block Group 2, Census Tract 4.01, Champaign County, Illinois",1994,5500,1196,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,26,0,5,23,0,0
"Block Group 3, Census Tract 12.05, Champaign County, Illinois",2004,191250,1223,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,152,18,33,124,81,783,394,299,441
"Block Group 1, Census Tract 12.05, Champaign County, Illinois",2001,75417,1224,1136,0,0,0,0,0,0,13,0,0,0,0,0,0,7,7,140,0,11,150,51,454,224,29,50
"Block Group 2, Census Tract 11, Champaign County, Illinois",1942,100417,1258,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,57,30,86,162,24,108
"Block Group 3, Census Tract 13.01, Champaign County, Illinois",1964,97279,1288,815,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,35,0,35,95,60,178,118,116,161
"Block Group 2, Census Tract 106.03, Champaign County, Illinois",2000,86181,1322,2057,0,17,0,0,0,0,0,0,0,0,23,0,9,0,0,266,39,135,273,152,608,362,115,58
"Block Group 1, Census Tract 9.02, Champaign County, Illinois",2003,76875,1343,3279,143,16,0,0,0,0,0,0,0,0,0,0,0,0,16,330,15,215,293,604,1008,399,114,126
